"CBSA Code","CBSA Name","CBSA Type"
"10100","Aberdeen, SD","Micropolitan"
"10140","Aberdeen, WA","Micropolitan"
"10180","Abilene, TX","Metropolitan"
"10220","Ada, OK","Micropolitan"
"10260","Adjuntas, PR","Micropolitan"
"10300","Adrian, MI","Micropolitan"
"10380","Aguadilla-Isabela, PR","Metropolitan"
"10420","Akron, OH","Metropolitan"
"10460","Alamogordo, NM","Micropolitan"
"10500","Albany, GA","Metropolitan"
"10540","Albany, OR","Metropolitan"
"10580","Albany-Schenectady-Troy, NY","Metropolitan"
"10620","Albemarle, NC","Micropolitan"
"10660","Albert Lea, MN","Micropolitan"
"10700","Albertville, AL","Micropolitan"
"10740","Albuquerque, NM","Metropolitan"
"10780","Alexandria, LA","Metropolitan"
"10820","Alexandria, MN","Micropolitan"
"10860","Alice, TX","Micropolitan"
"10900","Allentown-Bethlehem-Easton, PA-NJ","Metropolitan"
"10940","Alma, MI","Micropolitan"
"10980","Alpena, MI","Micropolitan"
"11020","Altoona, PA","Metropolitan"
"11060","Altus, OK","Micropolitan"
"11100","Amarillo, TX","Metropolitan"
"11140","Americus, GA","Micropolitan"
"11180","Ames, IA","Metropolitan"
"11220","Amsterdam, NY","Micropolitan"
"11260","Anchorage, AK","Metropolitan"
"11380","Andrews, TX","Micropolitan"
"11420","Angola, IN","Micropolitan"
"11460","Ann Arbor, MI","Metropolitan"
"11500","Anniston-Oxford-Jacksonville, AL","Metropolitan"
"11540","Appleton, WI","Metropolitan"
"11580","Arcadia, FL","Micropolitan"
"11620","Ardmore, OK","Micropolitan"
"11640","Arecibo, PR","Metropolitan"
"11660","Arkadelphia, AR","Micropolitan"
"11680","Arkansas City-Winfield, KS","Micropolitan"
"11700","Asheville, NC","Metropolitan"
"11740","Ashland, OH","Micropolitan"
"11780","Ashtabula, OH","Micropolitan"
"11820","Astoria, OR","Micropolitan"
"11860","Atchison, KS","Micropolitan"
"11900","Athens, OH","Micropolitan"
"11940","Athens, TN","Micropolitan"
"11980","Athens, TX","Micropolitan"
"12020","Athens-Clarke County, GA","Metropolitan"
"12060","Atlanta-Sandy Springs-Roswell, GA","Metropolitan"
"12100","Atlantic City-Hammonton, NJ","Metropolitan"
"12140","Auburn, IN","Micropolitan"
"12180","Auburn, NY","Micropolitan"
"12220","Auburn-Opelika, AL","Metropolitan"
"12260","Augusta-Richmond County, GA-SC","Metropolitan"
"12300","Augusta-Waterville, ME","Micropolitan"
"12380","Austin, MN","Micropolitan"
"12420","Austin-Round Rock, TX","Metropolitan"
"12460","Bainbridge, GA","Micropolitan"
"12540","Bakersfield, CA","Metropolitan"
"12580","Baltimore-Columbia-Towson, MD","Metropolitan"
"12620","Bangor, ME","Metropolitan"
"12660","Baraboo, WI","Micropolitan"
"12680","Bardstown, KY","Micropolitan"
"12700","Barnstable Town, MA","Metropolitan"
"12740","Barre, VT","Micropolitan"
"12780","Bartlesville, OK","Micropolitan"
"12820","Bastrop, LA","Micropolitan"
"12860","Batavia, NY","Micropolitan"
"12900","Batesville, AR","Micropolitan"
"12940","Baton Rouge, LA","Metropolitan"
"12980","Battle Creek, MI","Metropolitan"
"13020","Bay City, MI","Metropolitan"
"13060","Bay City, TX","Micropolitan"
