"Class Code","Class Name","Parameter Code","Parameter"
"APP_A_PARAMETERS","Parameters subject to the 40 CFR Appendix A Regulations","42101","Carbon monoxide"
"APP_A_PARAMETERS","Parameters subject to the 40 CFR Appendix A Regulations","14129","Lead (TSP) LC"
"APP_A_PARAMETERS","Parameters subject to the 40 CFR Appendix A Regulations","85129","Lead PM10 LC FRM/FEM"
"APP_A_PARAMETERS","Parameters subject to the 40 CFR Appendix A Regulations","42602","Nitrogen dioxide (NO2)"
"APP_A_PARAMETERS","Parameters subject to the 40 CFR Appendix A Regulations","44201","Ozone"
"APP_A_PARAMETERS","Parameters subject to the 40 CFR Appendix A Regulations","81102","PM10 Total 0-10um STP"
"APP_A_PARAMETERS","Parameters subject to the 40 CFR Appendix A Regulations","88101","PM2.5 - Local Conditions"
"APP_A_PARAMETERS","Parameters subject to the 40 CFR Appendix A Regulations","42401","Sulfur dioxide"
"AQI POLLUTANTS","Pollutants that have an AQI Defined","88502","Acceptable PM2.5 AQI & Speciation Mass"
"AQI POLLUTANTS","Pollutants that have an AQI Defined","42101","Carbon monoxide"
"AQI POLLUTANTS","Pollutants that have an AQI Defined","42602","Nitrogen dioxide (NO2)"
"AQI POLLUTANTS","Pollutants that have an AQI Defined","44201","Ozone"
"AQI POLLUTANTS","Pollutants that have an AQI Defined","81102","PM10 Total 0-10um STP"
"AQI POLLUTANTS","Pollutants that have an AQI Defined","88101","PM2.5 - Local Conditions"
"AQI POLLUTANTS","Pollutants that have an AQI Defined","42401","Sulfur dioxide"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43818","1,1,2,2-Tetrachloroethane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43821","1,1,2-Trichloro-1,2,2-trifluoroethane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43820","1,1,2-Trichloroethane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43813","1,1-Dichloroethane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43826","1,1-Dichloroethylene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45225","1,2,3-Trimethylbenzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45810","1,2,4-Trichlorobenzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45208","1,2,4-Trimethylbenzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45805","1,2-Dichlorobenzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43829","1,2-Dichloropropane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45207","1,3,5-Trimethylbenzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43218","1,3-Butadiene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45806","1,3-Dichlorobenzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45807","1,4-Dichlorobenzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43298","1-Decene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43328","1-Heptene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43245","1-Hexene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43279","1-Nonene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43145","1-Octene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43224","1-Pentene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43299","1-Undecene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43250","2,2,4-Trimethylpentane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43244","2,2-Dimethylbutane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43252","2,3,4-Trimethylpentane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43284","2,3-Dimethylbutane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43291","2,3-Dimethylpentane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43247","2,4-Dimethylpentane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43292","2-2-3-Trimethylpentane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43236","2-Ethyl-1-butene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43225","2-Methyl-1-butene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43246","2-Methyl-1-pentene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43228","2-Methyl-2-butene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43960","2-Methylheptane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43263","2-Methylhexane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43285","2-Methylpentane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43282","3-Methyl-1-butene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43253","3-Methylheptane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43249","3-Methylhexane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43230","3-Methylpentane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43234","4-Methyl-1-pentene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17159","9-fluorenone (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17147","Acenaphthene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17148","Acenaphthylene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43702","Acetonitrile"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43206","Acetylene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43505","Acrolein - Unverified"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43509","Acrolein - Verified"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43704","Acrylonitrile"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17151","Anthracene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45201","Benzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45228","Benzene, 1-ethenyl-4-methyl"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17215","Benzo[a]anthracene (TSP) STP"
